away_color,home_color,season,week,notes,away_id,home_id,away_team,home_team,game_rating
#38a993,#d5a6af,2022,2,,2681,164,Wagner,Rutgers,3.83
#4c4c4c,#917e9c,2022,3,,2097,151,Campbell,East Carolina,3.83
#cc7a91,#345b9d,2017,Bowls,bad boy mowers gasparilla bowl,218,2229,Temple,Florida International,3.83
#949494,#c0425a,2016,Bowls,,264,333,Washington(4),Alabama(2),3.83
#74acd1,#4e6192,2019,4,,2261,2335,Hampton,Liberty,3.83
#c85a68,#b39ba0,2022,4,,254,9,Utah(13),Arizona State,3.83
#ede6cc,#c0425a,2017,10,,99,333,LSU(19),Alabama(1),3.83
#3974ac,#db93a2,2021,12,,130,120,Michigan(8),Maryland,3.83
#3cb588,#d4969e,2018,12,,2655,248,Tulane,Houston,3.82
#3871a6,#b83d6f,2021,1,,2309,245,Kent State,Texas A&M(6),3.82
#3f7fbd,#cababb,2021,14,,328,21,Utah State,San Diego State(19),3.82
#d98c8c,#4c4c4c,2021,3,,2546,142,Southeast Missouri State,Missouri,3.82
#d1bec1,#4078be,2015,5,,309,2348,Louisiana,Louisiana Tech,3.82
#c04054,#6f82cf,2016,11,,2579,57,South Carolina,Florida(22),3.82
#d98c8c,#3974ac,2021,Bowls,cfp semifinal at the capital one orange bowl,61,130,Georgia(1),Michigan(3),3.82
#d1bec1,#3853a9,2017,11,,309,145,Louisiana,Ole Miss,3.82
#3d75b8,#5796c7,2023,8,,2636,2226,UT San Antonio,Florida Atlantic,3.82
#4c4c4c,#3f7fbd,2018,7,,2439,328,UNLV,Utah State,3.82
#c45050,#ede6cc,2019,Bowls,chick-fil-a peach bowl - cfp semifinal,201,99,Oklahoma(7),LSU(1),3.82
#4c4c4c,#4c4c4c,2017,12,,142,238,Missouri,Vanderbilt,3.82
#4c4c4c,#b8b8b8,2020,5,,2097,154,Campbell,Wake Forest,3.82
#c86781,#949494,2021,13,,265,264,Washington State,Washington,3.82
#c85a68,#5ea3c9,2018,9,,254,26,Utah(23),UCLA,3.82
#f0e9d3,#c0425a,2016,1,,30,333,USC(20),Alabama(1),3.82
#e7d3c6,#10d10c10a,2023,6,,183,153,Syracuse,North Carolina(14),3.81
#935531,#459d6b,2018,1,,189,2483,Bowling Green,Oregon(24),3.81
#cababb,#cfa0a8,2016,7,,21,278,San Diego State,Fresno State,3.81
#cfa0a8,#3853a9,2015,2,,278,145,Fresno State,Ole Miss(17),3.81
#3cb588,#5880c8,2017,9,,2655,235,Tulane,Memphis(24),3.81
#acacad,#bb929a,2023,1,,2717,8,Western Carolina,Arkansas,3.81
#ddb4b6,#4c4c4c,2016,Bowls,autonation cure bowl,2032,2116,Arkansas State,UCF,3.81
#689dcd,#518ac5,2022,2,,2377,242,McNeese,Rice,3.81
#d1bec1,#4c4c4c,2015,13,,309,2026,Louisiana,Appalachian State,3.81
#3871a6,#935531,2020,11,,2309,189,Kent State,Bowling Green,3.81
#ce6c81,#c86781,2018,3,,331,265,Eastern Washington,Washington State,3.81
#3c73b2,#cababb,2017,1,,302,21,UC Davis,San Diego State,3.81
#eddbd5,#315a93,2020,16,,228,87,Clemson(4),Notre Dame(2),3.81
#3f78bc,#339a72,2018,4,,2184,62,Duquesne,Hawai'i,3.81
#c6c3b4,#ebd8ce,2018,7,,2509,356,Purdue,Illinois,3.81
#868686,#c0437e,2018,8,,2711,2117,Western Michigan,Central Michigan,3.81
#6e6e6e,#99a6b8,2018,5,,2433,2247,Louisiana Monroe,Georgia State,3.81
#cfa0a8,#768897,2018,6,,278,2440,Fresno State,Nevada,3.81
#518ac5,#e4d3c7,2023,1,,242,251,Rice,Texas(11),3.81
#3d75b8,#4078be,2016,11,,2636,2348,UT San Antonio,Louisiana Tech,3.81
#3e70b8,#cc7a91,2015,1,,213,218,Penn State,Temple,3.81
#868686,#4b83c3,2015,2,,2711,290,Western Michigan,Georgia Southern,3.81
#7a8bd3,#bf405a,2015,5,,2305,66,Kansas,Iowa State,3.8
#e1c8a7,#3f647f,2015,1,,2755,25,Grambling,California,3.8
#eddbd5,#10d10c10a,2022,14,subway acc championship,228,153,Clemson(10),North Carolina(24),3.8
#436fa6,#d98c8c,2020,5,,2,61,Auburn(7),Georgia(4),3.8
#57c78a,#4e6192,2018,4,,249,2335,North Texas,Liberty,3.8
#14c14c14c,#76d198,2018,11,,2429,276,Charlotte,Marshall,3.8
#c0425a,#9e9292,2015,11,,333,344,Alabama(3),Mississippi State(20),3.8
#99a6b8,#4b83c3,2015,14,,2247,290,Georgia State,Georgia Southern,3.8
#e6c7b3,#3f7fbd,2017,3,,197,221,Oklahoma State(9),Pittsburgh,3.8
#3966ac,#a6a6a6,2023,7,,252,2628,BYU,TCU,3.8
#4c4c4c,#4c4c4c,2016,11,,2132,2116,Cincinnati,UCF,3.8
#4c4c4c,#3853a9,2023,9,,238,145,Vanderbilt,Ole Miss(12),3.8
#339a72,#3974ac,2022,2,,62,130,Hawai'i,Michigan(4),3.8
#888888,#9e9292,2023,1,,2545,344,Southeastern Louisiana,Mississippi State,3.8
#6f7cc9,#768897,2016,3,,2084,2440,Buffalo,Nevada,3.8
#c04054,#b83d6f,2019,12,,2579,245,South Carolina,Texas A&M,3.8
#436fa6,#ede6cc,2015,3,,2,99,Auburn(18),LSU(13),3.79
#917e9c,#4c4c4c,2018,13,,151,2132,East Carolina,Cincinnati,3.79
#a8848d,#5880c8,2023,1,,2065,235,Bethune-Cookman,Memphis,3.79
#bf405a,#a6a6a6,2016,3,,66,2628,Iowa State,TCU,3.79
#9b97aa,#ebd8ce,2017,13,,77,356,Northwestern(23),Illinois,3.79
#339969,#4c4c4c,2016,2,,2199,142,Eastern Michigan,Missouri,3.79
#a6a6a6,#bf405a,2015,1,,2460,66,Northern Iowa,Iowa State,3.79
#888888,#10d10c10a,2021,12,,2747,153,Wofford,North Carolina,3.79
#4c4c4c,#3e70b8,2016,10,,2294,213,Iowa,Penn State(20),3.79
#e6ccb3,#345b9d,2019,8,,2638,2229,UTEP,Florida International,3.79
#f6f6f6,#339a72,2019,4,,2110,62,Central Arkansas,Hawai'i,3.79
#6f7cc9,#db93a2,2022,1,,2084,120,Buffalo,Maryland,3.79
#9e9292,#bb929a,2019,10,,344,8,Mississippi State,Arkansas,3.79
#5ea3c9,#c85a68,2017,10,,26,254,UCLA,Utah,3.79
#c0437e,#c8596e,2017,5,,2117,103,Central Michigan,Boston College,3.79
#3871a6,#4c4c4c,2021,3,,2309,2294,Kent State,Iowa(5),3.79
#5796c7,#5096c4,2021,4,,2226,2005,Florida Atlantic,Air Force,3.79
#3e70b8,#7b7b7b,2015,13,,213,127,Penn State,Michigan State(6),3.79
#3667a3,#4c4c4c,2019,5,,41,2116,Connecticut,UCF(22),3.78
#3c60b4,#9c9495,2019,5,,150,259,Duke,Virginia Tech,3.78
#e6c7b3,#f4f4f4,2016,Bowls,valero alamo bowl,197,38,Oklahoma State(11),Colorado(17),3.78
#ddb4b6,#c45050,2023,1,,2032,201,Arkansas State,Oklahoma(20),3.78
#85b8d6,#c0425a,2023,1,,2393,333,Middle Tennessee,Alabama(4),3.78
#7a8bd3,#e6dab3,2016,10,,2305,277,Kansas,West Virginia(14),3.78
#3f7fbd,#9c9495,2021,7,,221,259,Pittsburgh,Virginia Tech,3.78
#315a93,#bf405a,2019,Bowls,camping world bowl,87,66,Notre Dame(12),Iowa State,3.78
#57c78a,#345b9d,2021,12,,249,2229,North Texas,Florida International,3.78
#cababb,#3870aa,2021,2,,21,12,San Diego State,Arizona,3.78
#ecdecd,#39aa8c,2015,1,,50,58,Florida A&M,South Florida,3.77
#3cb48f,#cfa0a8,2016,2,,16,278,Sacramento State,Fresno State,3.77
#f4ebe0,#e5d9c9,2017,10,,2572,2633,Southern Mississippi,Tennessee,3.77
#ce6c81,#6f82cf,2022,5,,331,57,Eastern Washington,Florida,3.77
#3f7fbd,#eddbd5,2020,13,,221,228,Pittsburgh,Clemson(4),3.77
#73a6d0,#6f82cf,2020,13,,96,57,Kentucky,Florida(6),3.77
#b57f81,#73a6d0,2021,12,,166,96,New Mexico State,Kentucky,3.77
#14c14c14c,#3c60b4,2020,9,,2429,150,Charlotte,Duke,3.77
#868686,#3974ac,2021,1,,2711,130,Western Michigan,Michigan,3.77
#839fb6,#38a690,2016,3,,2458,36,Northern Colorado,Colorado State,3.77
#dbbcc0,#d8c2c0,2023,2,,2754,194,Youngstown State,Ohio State(5),3.76
#3671a1,#d98c8c,2022,13,,59,61,Georgia Tech,Georgia(1),3.76
#c86781,#cc7a91,2022,10,,265,24,Washington State,Stanford,3.76
